Comment,Designator,Footprint,LCSC Part Number
100uF 25V,C1,CP_Radial_D6.3mm_P2.50mm,
220uF 10V,C2,CP_Radial_D8.0mm_P3.50mm,
22uF 16V Tantalum,C3,CP_EIA-3216-18_Kemet-A,C782264
100nF,C4,C_0603_1608Metric,C14663
100uF 25V,C5,CP_Radial_D6.3mm_P2.50mm,
100uF 25V,C6,CP_Radial_D6.3mm_P2.50mm,
100nF,C7,C_0603_1608Metric,C14663
100nF,C8,C_0603_1608Metric,C14663
100nF,C9,C_0603_1608Metric,C14663
100nF,C10,C_0603_1608Metric,C14663
100nF,C11,C_0603_1608Metric,C14663
6.8V Zener,D1,D_SOD-123,C2120
4A Polyfuse,F1,Fuse_2920_7451Metric,C139284
1.5A Polyfuse,F2,Fuse_1206_3216Metric,C70083
Barrel Jack,J1,BarrelJack_Horizontal,
JST-PH 4P,J_GPS1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
JST-PH 3P,J_LIM1,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
JST-PH 3P,J_LIM2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
JST-XH 4P,J_MOT1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
JST-XH 4P,J_MOT2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
Pin Header 1x4,J_MP1584,PinHeader_1x04_P2.54mm_Vertical,
Pin Socket 2x20,J_PI1,PinSocket_2x20_P2.54mm_Vertical,
TMC2209 Module,J_TMC1,MODULE_TMC2209_SILENTSTEPSTICK,
TMC2209 Module,J_TMC2,MODULE_TMC2209_SILENTSTEPSTICK,
AO3401A,Q1,SOT-23,C15127
10k,R1,R_0603_1608Metric,C25804
10k,R2,R_0603_1608Metric,C25804
10k,R3,R_0603_1608Metric,C25804
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
